"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
1965,97,"AFortas",-1.398,0.27,-1.391,-1.952,-0.894
1966,97,"AFortas",-1.562,0.235,-1.557,-2.044,-1.118
1967,97,"AFortas",-1.475,0.243,-1.469,-1.97,-1.025
1968,97,"AFortas",-1.285,0.317,-1.272,-1.938,-0.701
1962,96,"AJGoldberg",-1.098,0.226,-1.092,-1.56,-0.67
1963,96,"AJGoldberg",-1.204,0.213,-1.2,-1.635,-0.8
1964,96,"AJGoldberg",-0.86,0.259,-0.855,-1.395,-0.374
1987,106,"AMKennedy",1.196,0.283,1.189,0.658,1.773
1988,106,"AMKennedy",1.468,0.232,1.462,1.031,1.941
1989,106,"AMKennedy",1.357,0.22,1.352,0.944,1.804
1990,106,"AMKennedy",1.218,0.218,1.214,0.805,1.656
1991,106,"AMKennedy",0.885,0.205,0.884,0.495,1.303
1992,106,"AMKennedy",1.044,0.217,1.042,0.627,1.473
1993,106,"AMKennedy",0.876,0.219,0.873,0.466,1.324
1994,106,"AMKennedy",0.845,0.212,0.841,0.434,1.272
1995,106,"AMKennedy",0.713,0.213,0.707,0.309,1.142
1996,106,"AMKennedy",0.849,0.213,0.843,0.448,1.285
1997,106,"AMKennedy",0.817,0.225,0.813,0.388,1.277
1998,106,"AMKennedy",0.919,0.226,0.916,0.492,1.37
1999,106,"AMKennedy",1.066,0.229,1.058,0.63,1.532
2000,106,"AMKennedy",0.953,0.223,0.945,0.53,1.402
2001,106,"AMKennedy",1.039,0.229,1.036,0.605,1.504
2002,106,"AMKennedy",0.886,0.236,0.883,0.434,1.364
2003,106,"AMKennedy",0.749,0.223,0.743,0.328,1.2
2004,106,"AMKennedy",0.538,0.224,0.534,0.106,0.995
2005,106,"AMKennedy",0.487,0.225,0.484,0.051,0.939
2006,106,"AMKennedy",0.445,0.207,0.441,0.059,0.859
2007,106,"AMKennedy",0.398,0.218,0.394,-0.017,0.839
2008,106,"AMKennedy",0.557,0.202,0.552,0.168,0.962
2009,106,"AMKennedy",0.517,0.214,0.514,0.104,0.944
2010,106,"AMKennedy",0.581,0.21,0.578,0.182,0.999
2011,106,"AMKennedy",0.299,0.211,0.299,-0.116,0.716
2012,106,"AMKennedy",0.24,0.202,0.238,-0.147,0.646
2013,106,"AMKennedy",0.048,0.23,0.046,-0.401,0.508
2014,106,"AMKennedy",-0.27,0.211,-0.268,-0.69,0.138
2015,106,"AMKennedy",-0.406,0.242,-0.404,-0.874,0.067
2016,106,"AMKennedy",-0.362,0.281,-0.357,-0.931,0.17
1986,105,"AScalia",1.424,0.242,1.413,0.977,1.923
1987,105,"AScalia",1.638,0.25,1.63,1.171,2.153
1988,105,"AScalia",1.807,0.259,1.801,1.314,2.337
1989,105,"AScalia",2.011,0.274,2.002,1.506,2.572
1990,105,"AScalia",2.198,0.304,2.191,1.626,2.802
1991,105,"AScalia",2.543,0.315,2.535,1.943,3.177
1992,105,"AScalia",2.577,0.354,2.57,1.919,3.301
1993,105,"AScalia",2.663,0.374,2.653,1.967,3.434
1994,105,"AScalia",2.893,0.38,2.88,2.182,3.678
1995,105,"AScalia",3.16,0.391,3.153,2.424,3.962
1996,105,"AScalia",3.353,0.402,3.339,2.595,4.182
1997,105,"AScalia",3.428,0.414,3.413,2.655,4.275
1998,105,"AScalia",3.405,0.431,3.395,2.586,4.274
1999,105,"AScalia",3.473,0.423,3.463,2.676,4.326
2000,105,"AScalia",3.471,0.412,3.459,2.699,4.309
2001,105,"AScalia",3.31,0.414,3.302,2.529,4.139
2002,105,"AScalia",2.997,0.417,2.988,2.211,3.833
2003,105,"AScalia",2.814,0.405,2.802,2.06,3.652
2004,105,"AScalia",2.594,0.403,2.579,1.844,3.412
2005,105,"AScalia",2.542,0.396,2.529,1.806,3.355
2006,105,"AScalia",2.539,0.374,2.533,1.829,3.293
2007,105,"AScalia",2.408,0.362,2.402,1.728,3.152
2008,105,"AScalia",2.307,0.35,2.3,1.637,3.017
2009,105,"AScalia",2.286,0.343,2.274,1.637,2.984
2010,105,"AScalia",2.119,0.35,2.105,1.471,2.836
2011,105,"AScalia",2.037,0.334,2.025,1.415,2.713
2012,105,"AScalia",1.711,0.335,1.695,1.092,2.402
2013,105,"AScalia",1.575,0.349,1.561,0.938,2.306
2014,105,"AScalia",1.487,0.357,1.469,0.848,2.247
2015,105,"AScalia",1.556,0.452,1.541,0.713,2.482
1937,77,"BNCardozo",-1.595,0.637,-1.554,-2.948,-0.49
1961,95,"BRWhite",-0.28,0.292,-0.278,-0.86,0.279
1962,95,"BRWhite",-0.243,0.165,-0.242,-0.572,0.079
1963,95,"BRWhite",-0.148,0.154,-0.145,-0.453,0.149
1964,95,"BRWhite",-0.164,0.185,-0.164,-0.527,0.206
1965,95,"BRWhite",-0.176,0.173,-0.178,-0.513,0.162
1966,95,"BRWhite",-0.017,0.151,-0.017,-0.31,0.278
1967,95,"BRWhite",0.245,0.142,0.244,-0.033,0.528
1968,95,"BRWhite",0.064,0.168,0.061,-0.266,0.395
1969,95,"BRWhite",0.104,0.171,0.102,-0.228,0.445
1970,95,"BRWhite",0.475,0.171,0.471,0.15,0.82
1971,95,"BRWhite",0.661,0.166,0.66,0.343,0.99
1972,95,"BRWhite",0.99,0.17,0.987,0.668,1.329
1973,95,"BRWhite",0.569,0.159,0.569,0.264,0.884
1974,95,"BRWhite",0.612,0.175,0.609,0.276,0.964
1975,95,"BRWhite",0.496,0.158,0.494,0.193,0.815
1976,95,"BRWhite",0.355,0.151,0.353,0.063,0.655
1977,95,"BRWhite",-0.002,0.162,-0.003,-0.323,0.315
1978,95,"BRWhite",-0.049,0.154,-0.05,-0.349,0.257
1979,95,"BRWhite",0.218,0.15,0.218,-0.078,0.512
1980,95,"BRWhite",0.171,0.161,0.17,-0.144,0.496
1981,95,"BRWhite",0.185,0.153,0.182,-0.112,0.49
1982,95,"BRWhite",0.594,0.17,0.591,0.27,0.939
1983,95,"BRWhite",0.815,0.18,0.81,0.475,1.18
1984,95,"BRWhite",0.998,0.2,0.993,0.622,1.408
1985,95,"BRWhite",1.204,0.201,1.202,0.825,1.611
1986,95,"BRWhite",1.204,0.188,1.202,0.845,1.579
1987,95,"BRWhite",0.978,0.202,0.974,0.596,1.384
1988,95,"BRWhite",1.063,0.193,1.062,0.693,1.457
1989,95,"BRWhite",0.82,0.181,0.817,0.477,1.184
1990,95,"BRWhite",0.602,0.185,0.596,0.247,0.979
1991,95,"BRWhite",0.625,0.189,0.624,0.258,1.001
1992,95,"BRWhite",0.567,0.226,0.562,0.137,1.023
1937,75,"CEHughes2",-0.366,0.229,-0.366,-0.818,0.085
1938,75,"CEHughes2",-0.189,0.189,-0.19,-0.563,0.178
1939,75,"CEHughes2",0.344,0.194,0.339,-0.028,0.736
1940,75,"CEHughes2",0.935,0.239,0.926,0.495,1.433
1956,93,"CEWhittaker",1.048,0.28,1.041,0.515,1.617
1957,93,"CEWhittaker",1.102,0.203,1.097,0.721,1.518
1958,93,"CEWhittaker",1.352,0.218,1.347,0.935,1.789
1959,93,"CEWhittaker",1.453,0.218,1.448,1.042,1.896
1960,93,"CEWhittaker",1.281,0.247,1.275,0.817,1.783
1961,93,"CEWhittaker",1.197,0.347,1.184,0.561,1.912
1991,108,"CThomas",2.756,0.466,2.737,1.909,3.725
1992,108,"CThomas",3.055,0.458,3.033,2.21,4.006
1993,108,"CThomas",3.423,0.445,3.412,2.576,4.334
1994,108,"CThomas",3.628,0.446,3.615,2.79,4.547
1995,108,"CThomas",3.706,0.46,3.688,2.852,4.646
1996,108,"CThomas",3.766,0.471,3.76,2.87,4.732
1997,108,"CThomas",3.756,0.482,3.74,2.843,4.743
1998,108,"CThomas",3.779,0.492,3.761,2.851,4.807
1999,108,"CThomas",3.726,0.502,3.715,2.789,4.756
2000,108,"CThomas",3.764,0.504,3.746,2.826,4.796
2001,108,"CThomas",3.732,0.518,3.714,2.762,4.79
